"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","Fibroblasts","Endothelial.cells","Epithelial.cells"
"SU2CLC.DFC.DF0109",0.00909870300432955,0.00723644191572792,0.0126582574174962,0.0211655004838453,0.0103473374551974,0.0235480782858896,0.00275129151189415,0.00833259206871953,0.00556492006568201,0,0.00034917847911509,0.00167602942312124,0.0116998163267927,0.0194571170084389,0.00335028763495551,0.041247180817917,0.00829934375557066,0.00094320896247453,0.00265215668229874,0.0133939696257872,0.00338622306939453,0.00423675784149367,0.265268668273038,0.0359391572560594,0.487397782634761
"SU2CLC.DFC.DF0112",0.0178512261993956,0,0.0256058030139056,0.0116727933657304,0,0.022946504786982,0,0.0172204497343304,0.00653812362033838,0,0.00524215053362031,0.0119474037416497,0.00035965971472238,0.0343494079337107,0.0112291399953681,0.0394268612283366,0.00193924039483637,0,0,0.0208009415911662,0.00051069294355994,0.00370450757788177,0.428119064972404,0.0111154920929014,0.32942053655916
"SU2CLC.DFC.DF0241",0.0736549686914982,0.0417804181642788,0.0127071305796093,0.0614818417613065,0.140893403824225,0.145372724721881,0.0174275698289697,0.0473367676608906,0.0604827635662636,0,0,0.0301696523831743,0.096154258623947,0.00877336155617341,0.00100678995871699,0.0853043243584746,0.0115103440632554,0.00811827075101792,0,0.0118100285311382,0.00576123643734112,0,0.00789134206242595,0,0.132362802475413
"SU2CLC.DFC.DF0499",0.00210602711725118,0.00690186742822574,0.0176476168857303,0.0789409466799425,0,0.028284040323,0,0.0550353246181577,0.0209160585023117,0,0.0050872772907706,0.054065451608684,0.0199092896014277,0.0601177139590155,0.0325731008810237,0.0868086500304761,0,0,0,0.0512046637972411,0.00208748151315874,0.162955907871467,0.222374317869743,0.0138509982696202,0.079133265752753
"SU2CLC.DFC.DF0510",0.00121456220516022,0.00541830245010893,0.00248225705741178,0,0.0109767206369374,0.030367322230562,0,0,0,0,0.00625542296036626,0.00792953833012801,0.180903752646659,0.0397097293781116,0,0.259871201329047,0.0104417889997103,0.00344972599856985,0.00245924688164278,0,0.00684413165901519,0.114978022389227,0.0456320611745224,0,0.27106621367282
"SU2CLC.DFC.DF0512",0.00334610681538536,0.0334633732103127,0.0315662930107231,0.0191301003795143,0,0.0778206820156293,0.0219772779691768,0.0227273728041867,0,0,0,0.0026256610318183,0.031270870719695,0.066193077160926,0.0102348110672153,0.0813893978149968,0.0382168621031473,0.0182732626900245,0.00633527226050763,0.0355262489901056,0.0177165094631461,0.0124868296270539,0.226985435050679,0.0131834152589553,0.229531140556801
"SU2CLC.DFC.DF0561",0.00806216872252005,0.00739179866296283,0.00091571240855088,0.00177270474190837,0.00473312070044093,0.0197433216271383,0,0.00799965402130569,0,0.00739860263835912,0.0163311904913757,0,0.0484792085037794,0.0476603338534374,0,0.0281331974008103,0.00057416859384193,0.00466183684622284,0,0.00136455163718834,0.0091401993530078,0.340000105577752,0.00807590947140858,0,0.437562214747989
"SU2CLC.DFC.DF0668",0.0082932619354181,0.00985764354021573,0.00485329151238348,0.0189834071959178,0.0132704145560186,0.0172938508811858,0.00181594466354343,0.0004940686501112,0.00325063775612516,0.00250511504112289,0.0208739835056604,0,0.026114403713204,0.0479669722525722,0.00036173276171734,0.0286348405434933,0,0,0,0.00749774312197652,0,0.234744339582907,0.127610339881451,0.00302247313395709,0.422555535771018
"SU2CLC.DFC.DF0790",0.0387449955599078,0.03483032990156,0.0169836404173701,0.0337655011997448,0.00765547183867502,0.0438763832529536,0.00192989579115488,0.0436386870319074,0.00023524568805856,0.00941403460711363,0,0.039081649170976,0.0746306328953425,0.167825387955704,0.0367730550946143,0.105736372545259,0.0386021084909798,0,0,0.0480795465697834,0,0.134126877965619,0.0438953476539769,0.00197740646016764,0.0781974299091316
"SU2CLC.DFC.DF0840",0.00214531837707366,0.023426006834539,0.0388312726906873,0.0340879093459097,0,0.0656540560807331,0.00639871779035223,0.0314568041283105,0,0.00502282609040242,0,0.0203037391735678,0.00172265432713753,0.0586475578464845,0.0196579740727672,0.0650802796798482,0.00143794893935034,0.00567859012791596,0,0.0307022875184557,0,0.00488897287572891,0.354249970453635,0,0.230607113647101
